cycle,AL,AR,AZ,CA,CO,FL,GA,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NC,ND,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WI,WV,WY
-19,1.0,,,,,1.0,0.0,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,0.0015600624024961,,,,,,
-18,,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0038872691933916426,,,,,,
-17,,,,,1.0,1.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,0.001443001443001443,,,,,,
-16,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.00243605359317905,,,,,,
-15,1.0,,,,1.0,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.005687640910022546,,,,,,
-14,1.0,,,,,1.0,0.0,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,0.007281553398058253,,,,,,
-13,1.0,,,,0.5,1.0,0.32142857142857145,,0.0,,,,,,,,,0.0,,,,,,,,1.0,,,,,1.0,,1.0,0.005055816210969099,,,,,,
-12,1.0,,,,,1.0,0.0,,0.0,,1.0,0.0,,,,,,0.0,,,,,,,,0.0,1.0,,,,,,,0.0,,,,,,
-11,,,,1.0,1.0,1.0,0.0,,0.0,,0.5,1.0,,,,,,0.0,,,,,,,,,,,,,1.0,,,0.004694835680751174,,,,,,
-10,,,,,,0.75,0.0,,0.0,,1.0,,1.0,,,,,0.0,,,,0.0,,,,,,,,,,,,0.004608294930875576,,,0.0,,,
-9,1.0,,,,0.0,0.5238095238095238,0.0,,0.0,,1.0,1.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,1.0,,,0.005440505440505441,,,,,,
-8,0.0,,,0.9523809523809524,0.5,0.0,0.0,,0.0,,0.6666666666666666,0.0,1.0,,,,0.5,0.0,,,,,,,,,,,,,,,,0.0121765601217656,,,,,,
-7,0.5,,,0.0,0.5,0.0,0.0,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,1.0,,,0.0,,0.0,0.012392241379310345,,,,,0.0,
-6,0.08333333333333333,,,0.0,0.2857142857142857,0.6428571428571429,0.2,,0.0,,0.0,,,,1.0,,,0.23214285714285715,,,,,,,,0.0,,,,,1.0,,,0.020562770562770564,,,,,0.0,
-5,0.16666666666666666,,,,0.36538461538461536,0.2554945054945055,0.030612244897959183,,0.0,,,0.0,1.0,,,,0.0,0.25,,,0.0,1.0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.010469667318982388,,0.0,,,0.11904761904761905,
-4,0.25,,,,0.0,0.07692307692307693,0.08333333333333333,0.0,0.0,,0.25,0.0,0.0,,,0.0,0.0,0.2,,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.002614221364221364,,0.0,0.0,,,
-3,0.04960317460317461,,,0.0,0.0,0.0,0.0,,0.0,,0.5,0.0,,,,0.0,0.0,0.16666666666666666,0.0,0.16964285714285715,0.0,,,0.0,0.0,0.08928571428571429,0.0,,,0.0,0.0,,0.16964285714285715,0.005491744436468055,,0.0,0.0,,0.05952380952380953,
-2,0.0,0.0,,0.025,0.03669724770642202,0.000944822373393802,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.010101010101010102,0.0,0.011904761904761904,0.0040683482506102524,,0.0,0.0,,0.09090909090909091,0.0
-1,0.0,0.0,,0.010638297872340425,0.0037313432835820895,0.004,0.001564945226917058,0.0,0.0,0.02857142857142857,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004121901925327093,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0025,0.0,,0.0,0.01050420168067227,0.0,0.0016778523489932886,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03225806451612903,0.16981132075471697,0.0,0.0,0.0,0.0,0.0,0.003668378576669112,,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.010067114093959731,0.0019455252918287938,0.0017301038062283738,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0011785988378467272,,0.0,0.0,0.0,0.0,0.0
